builder_name,community_low_price,community_high_price,name,telephone,address_locality,address_region,postal_code,latitude,longitude
CastleRock Communities,"$240,000",$0,Sunterra,,Katy,TX,77493,29.868456,-95.835384
Perry Homes,"$420,900","$600,900",Candela 60',888-532-2920,Richmond,TX,77406,29.681751,-95.837102
Perry Homes,"$370,900","$500,900",Candela 50',888-532-3137,Richmond,TX,77406,29.681736,-95.836734
Princeton Classic Homes,"$348,990","$448,540",Lilac Bend,888-245-6083,Katy,TX,77493,29.807963,-95.818069
Coventry Homes,"$313,990","$579,889",Candela 40',888-438-2187,Richmond,TX,77406,29.681635,-95.836153
Perry Homes,"$292,900","$386,900",Candela 40',888-532-4935,Richmond,TX,77406,29.681547,-95.836026
First America Homes,"$248,990","$316,361",Bernard Meadows,888-502-2796,East Bernard,TX,77435,29.484941,-96.137109
Lennar,"$198,990","$236,990",Winward - Colonial Collection,888-830-0007,Katy,TX,77493,29.887700,-95.835800
Lennar,"$243,990","$301,990",Winward - Wildflower Collection,888-828-7247,Katy,TX,77493,29.887000,-95.834700
Lennar,"$223,990","$266,990",Katy Crossing - Gulf Coast Collection,888-220-9161,Katy,TX,77493,29.856900,-95.823100
Lennar,"$233,990","$283,990",Katy Crossing - Magnolia Collection,888-313-4467,Katy,TX,77493,29.856900,-95.823100
Centex Homes,"$195,990","$249,990",Katy Crossing,877-237-4975,Katy,TX,77493,29.858768,-95.823601
KB Home,"$276,995","$328,995",Katy Manor Preserve,281-377-6650,Katy,TX,77493,29.847285,-95.811684
KB Home,"$246,995","$299,995",Katy Manor Trails,281-377-6614,Katy,TX,77493,29.847299,-95.810652
Ashton Woods,"$273,990","$343,298",Creekside Ranch,888-408-8383,Richmond,TX,77406,29.665752,-95.827987
Beazer Homes,"$228,490","$274,490",Marisol - Founders Collection,888-267-3803,Katy,TX,77493,29.845301,-95.807309
Beazer Homes,"$249,490","$290,490",Marisol - Premier Collection,888-257-5641,Katy,TX,77493,29.845301,-95.807309
Censeo Homes,"$129,900","$196,620",Hempstead,888-329-1251,Hempstead,TX,77445,30.085572,-96.077241
Legend Homes,"$219,990","$323,957",Camillo Lakes,888-426-9207,Katy,TX,77493,29.828502,-95.799514
Perry Homes,"$417,900","$514,900",Lakes of Bella Terra West 50',888-391-9008,Richmond,TX,77406,29.696364,-95.808229
Perry Homes,"$298,900","$348,900",Lakes of Bella Terra West 40',888-390-6693,Richmond,TX,77406,29.696364,-95.808229
Meritage Homes,"$321,990","$377,990",Talavera - Classic,281-860-2185,Richmond,TX,77406,29.685337,-95.807022
Meritage Homes,"$289,990","$365,995",Talavera - Premier,281-738-1660,Richmond,TX,77406,29.685337,-95.807022
Pulte Homes,"$265,490","$352,490",Talavera,866-557-7373,Richmond,TX,77406,29.685502,-95.806537
K. Hovnanian® Homes,"$275,990","$429,039",Katy Pointe,713-481-5896,Katy,TX,77493,29.834763,-95.794666
Lennar,"$252,990","$302,990",Porter Ranch - Magnolia Collection,888-287-7571,Katy,TX,77493,29.843300,-95.792700
Meritage Homes,"$280,990","$374,915",Katy Pointe,281-653-8444,Katy,TX,77493,29.831461,-95.790150
Ashton Woods,"$360,990","$461,668",Lakes of Bella Terra West,888-912-2675,Richmond,TX,77406,29.695787,-95.797940
Tri Pointe Homes,"$415,900","$500,000",Haven at Seven Lakes 50,888-213-7487,Katy,TX,77494,29.702194,-95.795222
Tri Pointe Homes,"$380,900","$425,900",Haven at Seven Lakes 40,888-217-1108,Katy,TX,77494,29.702194,-95.795222
Gehan Homes,"$359,990","$359,990",Katy Lakes,888-858-7059,Katy,TX,77493,29.872890,-95.796560
HistoryMaker Homes   ,"$270,990","$378,962",Katy Lakes 50s,888-329-3070,Katy,TX,77493,29.873723,-95.796568
HistoryMaker Homes   ,"$313,990","$373,990",Katy Lakes 60s,888-329-3082,Katy,TX,77493,29.873723,-95.796568
CastleRock Communities,"$278,990","$453,990",Katy Lakes,281-213-0892,Katy,TX,77493,29.874510,-95.791430
KB Home,"$247,995","$319,351",Deer Run Meadows,281-607-1747,Richmond,TX,77406,29.635671,-95.812468
Beazer Homes,"$280,490","$353,037",Elyson,888-329-9591,Katy,TX,77493,29.864277,-95.784361
Lennar,"$269,990","$308,990",Elyson - Magnolia Collection,888-230-0589,Katy,TX,77493,29.866600,-95.783100
Pulte Homes,"$284,990","$352,990",Elyson,866-498-4111,Katy,TX,77493,29.866590,-95.783050
Taylor Morrison,"$355,990","$423,990",Elyson 60s,832-361-3929,Katy,TX,77493,29.876948,-95.785719
Highland Homes,"$502,840","$596,990",Elyson: 65ft. lots,972-532-0581,Katy,TX,77493,29.868992,-95.782759
Highland Homes,"$369,990","$493,990",Elyson: 55ft. lots,972-532-0581,Katy,TX,77493,29.868600,-95.782635
Perry Homes,"$486,900","$860,900",Elyson 65',888-454-9480,Katy,TX,77493,29.877694,-95.785533
Perry Homes,"$415,900","$615,900",Elyson 55',888-390-7631,Katy,TX,77493,29.877886,-95.784927
Perry Homes,"$338,900","$444,900",Elyson 45',888-250-1673,Katy,TX,77493,29.877890,-95.783689
K. Hovnanian® Homes,$0,$0,Kingdom Heights,713-343-7282,Rosenberg,TX,77471,29.589127,-95.809284
K. Hovnanian® Homes,"$244,990","$286,177",Providence at Kingdom Heights,713-581-8095,Rosenberg,TX,77471,29.589127,-95.809284
Meritage Homes,$0,$0,Grand Trails,281-500-9060,Richmond,TX,77407,29.687430,-95.758251
,"$202,990","$243,990",Vanbrooke,281-745-4684,Brookshire,TX,77423,29.727777,-95.930861
,"$240,990","$307,990",Vanbrooke/55,,Brookshire,TX,77423,29.727777,-95.930861
,"$315,990","$390,990",Jordan Ranch/60,,Brookshire,TX,77423,29.756424,-95.900143
,"$327,990","$350,990",Jordan Ranch/50,,Brookshire,TX,77423,29.756530,-95.899972
,"$339,990","$635,990",Jordan Ranch/70,,Brookshire,TX,77423,29.756554,-95.898680
,"$774,400","$950,800",Reserve at Weston Lakes,,Fulshear,TX,77441,29.644243,-95.936140
,"$236,990","$283,990",Willow Creek Farms,832-721-7700,Fulshear,TX,77423,29.765547,-95.885980
,"$307,990","$461,990",Fulbrook on Fulshear Creek,,Fulshear,TX,77441,29.684175,-95.905432
,"$1,400,000","$1,600,000",Fulshear Run,,Richmond,TX,77406,29.684329,-95.888048
,"$312,990","$374,990",Cross Creek Ranch/45,,Fulshear,TX,77441,29.723716,-95.873032
,"$283,990","$332,990",Vanbrooke,,Fulshear,TX,77441,29.709071,-95.876988
,"$640,000","$1,000,000",Cane Island,512-968-8411,Katy,TX,77493,29.800217,-95.846499
,"$322,990","$452,990",Falls at Green Meadows,,Katy,TX,77493,29.804107,-95.825487
,"$339,990","$414,824",Elyson/60,,Katy,TX,77493,29.868975,-95.785665
,"$659,900","$1,099,900",Lakes of Bella Terra,,Richmond,TX,77406,29.688138,-95.786221
,"$242,990","$274,324",Elyson/40,,Katy,TX,77493,29.868369,-95.783770
