builder_name,community_low_price,community_high_price,name,telephone,address_locality,address_region,postal_code,latitude,longitude
HistoryMaker Homes   ,"$333,990","$393,990",Katy Lakes 60s,888-329-3082,Katy,TX,77493,29.873723,-95.796568
CastleRock Communities,"$278,990","$453,990",Katy Lakes,281-213-0892,Katy,TX,77493,29.874510,-95.791430
KB Home,"$247,995","$324,351",Deer Run Meadows,281-607-1747,Richmond,TX,77406,29.635671,-95.812468
Beazer Homes,"$280,490","$312,490",Elyson,888-329-9591,Katy,TX,77493,29.864277,-95.784361
Lennar,"$272,990","$311,990",Elyson - Magnolia Collection,888-230-0589,Katy,TX,77493,29.866600,-95.783100
Pulte Homes,"$284,990","$352,990",Elyson,866-498-4111,Katy,TX,77493,29.866590,-95.783050
Taylor Morrison,"$405,990","$473,990",Elyson 60s,832-361-3929,Katy,TX,77493,29.876948,-95.785719
Highland Homes,"$502,840","$606,990",Elyson: 65ft. lots,972-532-0581,Katy,TX,77493,29.868992,-95.782759
Highland Homes,"$379,990","$506,231",Elyson: 55ft. lots,972-532-0581,Katy,TX,77493,29.868600,-95.782635
Perry Homes,"$493,900","$799,900",Elyson 65',888-454-9480,Katy,TX,77493,29.877694,-95.785533
Perry Homes,"$438,900","$596,900",Elyson 55',888-390-7631,Katy,TX,77493,29.877886,-95.784927
Perry Homes,"$349,900","$450,900",Elyson 45',888-250-1673,Katy,TX,77493,29.877890,-95.783689
K. Hovnanian® Homes,$0,$0,Kingdom Heights,713-343-7282,Rosenberg,TX,77471,29.589127,-95.809284
K. Hovnanian® Homes,"$244,990","$286,177",Providence at Kingdom Heights,713-581-8095,Rosenberg,TX,77471,29.589127,-95.809284
Meritage Homes,$0,$0,Grand Trails,281-500-9060,Richmond,TX,77407,29.687430,-95.758251
,"$202,990","$243,990",Vanbrooke,281-745-4684,Brookshire,TX,77423,29.727777,-95.930861
,"$240,990","$307,990",Vanbrooke/55,,Brookshire,TX,77423,29.727777,-95.930861
,"$315,990","$390,990",Jordan Ranch/60,,Brookshire,TX,77423,29.756424,-95.900143
,"$327,990","$350,990",Jordan Ranch/50,281-657-4755,Brookshire,TX,77423,29.756530,-95.899972
,"$339,990","$635,990",Jordan Ranch/70,,Brookshire,TX,77423,29.756554,-95.898680
,"$774,400","$950,800",Reserve at Weston Lakes,,Fulshear,TX,77441,29.644243,-95.936140
,"$236,990","$283,990",Willow Creek Farms,832-721-7700,Fulshear,TX,77423,29.765547,-95.885980
,"$307,990","$461,990",Fulbrook on Fulshear Creek,,Fulshear,TX,77441,29.684175,-95.905432
,"$1,400,000","$1,600,000",Fulshear Run,,Richmond,TX,77406,29.684329,-95.888048
,"$312,990","$374,990",Cross Creek Ranch/45,,Fulshear,TX,77441,29.723716,-95.873032
,"$283,990","$332,990",Vanbrooke,281-994-7967,Fulshear,TX,77441,29.709071,-95.876988
,"$640,000","$1,000,000",Cane Island,512-968-8411,Katy,TX,77493,29.800217,-95.846499
,"$322,990","$452,990",Falls at Green Meadows,281-758-8652,Katy,TX,77493,29.804107,-95.825487
,"$339,990","$414,824",Elyson/60,,Katy,TX,77493,29.868975,-95.785665
,"$659,900","$1,099,900",Lakes of Bella Terra,,Richmond,TX,77406,29.688138,-95.786221
,"$242,990","$274,324",Elyson/40,281-758-8730,Katy,TX,77493,29.868369,-95.783770
